tahun,provinsi,nama_kota,kecamatan,kelurahan,bulan,jumlah
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,01,9
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,01,4
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,01,1
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,01,0
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,01,4
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,01,0
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,01,1
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,01,6
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,01,14
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,01,17
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,01,5
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,01,21
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,01,12
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,01,7
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,01,18
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,01,16
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,01,26
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,01,19
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,01,21
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,01,22
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,01,46
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,01,17
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,01,27
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,01,24
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,01,24
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,SENEN,01,3
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KENARI,01,3
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,PASEBAN,01,27
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KRAMAT,01,7
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KWITANG,01,12
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,BUNGUR,01,21
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,01,23
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,01,41
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,01,15
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,MENTENG,01,18
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,PEGANGSAAN,01,21
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,CIKINI,01,4
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,GONDANGDIA,01,0
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,KEBON SIRIH,01,12
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,GELORA,01,1
